stock,win_rate,trade_count
600003.SH,0.0,3
600004.SH,0.0,2
600011.SH,0.0,3
600017.SH,0.0,1
600044.SH,0.0,1
600062.SH,0.0,1
600001.SH,0.0,3
600007.SH,1.0,2
600009.SH,0.0,2
600012.SH,0.0,2
600019.SH,0.0,1
600028.SH,1.0,2
600054.SH,0.0,1
600016.SH,0.0,1
600027.SH,0.0,2
600029.SH,0.0,1
600031.SH,0.0,1
600094.SH,0.0,1
600048.SH,0.0,1
600052.SH,0.0,1
600064.SH,1.0,1
600072.SH,0.0,1
600010.SH,0.0,1
600018.SH,1.0,1
600023.SH,1.0,2
600026.SH,1.0,2
600005.SH,0.0,2
600014.SH,1.0,1
600084.SH,1.0,1
600006.SH,0.0,2
600015.SH,0.0,2
600021.SH,0.0,1
600022.SH,1.0,1
600040.SH,0.0,1
600020.SH,1.0,1
600071.SH,0.0,1
600002.SH,0.0,3
600037.SH,1.0,1
600032.SH,1.0,2
600066.SH,1.0,1
600008.SH,0.0,2
