stock,win_rate,trade_count
600002.SH,0.0,2
600004.SH,0.6666666666666666,3
600017.SH,0.0,1
600019.SH,0.0,2
600023.SH,0.0,1
600056.SH,0.0,1
600082.SH,0.0,1
600090.SH,0.0,1
600028.SH,0.0,1
600010.SH,0.5,2
600039.SH,1.0,1
600009.SH,1.0,2
600012.SH,0.0,1
600013.SH,0.0,1
600014.SH,0.0,1
600027.SH,0.0,1
600005.SH,0.0,2
600040.SH,0.0,1
600095.SH,0.0,1
600098.SH,1.0,1
600015.SH,1.0,1
600011.SH,0.0,2
600018.SH,1.0,1
600081.SH,0.0,1
600003.SH,1.0,2
600021.SH,1.0,1
600006.SH,0.0,2
600020.SH,0.0,2
600033.SH,1.0,2
600001.SH,1.0,2
600022.SH,0.5,2
600057.SH,0.0,1
600007.SH,1.0,2
600008.SH,1.0,1
600031.SH,0.0,1
600035.SH,0.0,1
600025.SH,1.0,1
600041.SH,0.0,1
600032.SH,1.0,1
600026.SH,1.0,2
600066.SH,1.0,1
