stock,win_rate,trade_count
000911.SZ,0.5,2
002130.SZ,0.0,4
002998.SZ,0.5,6
300205.SZ,0.25,4
300299.SZ,0.5,4
301370.SZ,0.3333333333333333,3
001322.SZ,0.5,2
002429.SZ,0.4,5
002806.SZ,1.0,3
002872.SZ,0.5,4
300682.SZ,0.75,4
301076.SZ,0.0,4
301419.SZ,0.5,4
001356.SZ,0.5,4
002144.SZ,0.75,4
300271.SZ,0.6666666666666666,3
300780.SZ,0.6,5
002046.SZ,0.0,2
300307.SZ,0.5,4
300841.SZ,0.4,5
301002.SZ,0.3333333333333333,3
300584.SZ,0.6,5
300835.SZ,0.5,2
300373.SZ,0.5,2
000965.SZ,1.0,1
002032.SZ,0.0,1
002970.SZ,1.0,1
300768.SZ,0.25,4
000027.SZ,0.3333333333333333,3
000151.SZ,0.3333333333333333,3
301587.SZ,1.0,1
301100.SZ,0.0,2
