stock,win_rate,trade_count
600004.SH,0.5,4
600015.SH,0.2857142857142857,7
600017.SH,0.6,5
600024.SH,0.0,2
600031.SH,0.2,5
600039.SH,0.0,3
600049.SH,0.6666666666666666,3
600053.SH,0.6666666666666666,3
600057.SH,0.14285714285714285,7
600060.SH,0.2,5
600066.SH,0.4,5
600068.SH,0.0,5
600072.SH,0.3333333333333333,3
600074.SH,0.0,3
600076.SH,0.5,2
600084.SH,0.3333333333333333,3
600085.SH,0.42857142857142855,7
600087.SH,0.6666666666666666,3
600095.SH,0.6666666666666666,3
600096.SH,0.3333333333333333,3
600098.SH,0.5,4
600001.SH,0.6,5
600007.SH,0.3333333333333333,3
600022.SH,0.25,4
600029.SH,0.6,5
600034.SH,0.5,2
600050.SH,0.0,4
600055.SH,0.4,5
600064.SH,0.5,2
600069.SH,0.3333333333333333,6
600078.SH,0.5,4
600097.SH,0.25,4
600099.SH,0.16666666666666666,6
600012.SH,0.3333333333333333,3
600027.SH,0.5,4
600041.SH,0.0,2
600062.SH,0.0,3
600071.SH,0.8,5
600079.SH,0.2,5
600081.SH,0.0,2
600086.SH,0.5,6
600088.SH,0.5,4
600020.SH,0.75,4
600023.SH,0.6666666666666666,3
600042.SH,0.0,3
600044.SH,0.6666666666666666,3
600046.SH,0.6666666666666666,3
600051.SH,0.5,2
600073.SH,0.25,4
600003.SH,0.6,5
600014.SH,0.75,4
600035.SH,0.0,4
600037.SH,0.6666666666666666,3
600045.SH,0.0,2
600054.SH,0.0,1
600058.SH,0.25,4
600075.SH,0.3333333333333333,3
600002.SH,0.5,2
600016.SH,0.5,2
600021.SH,0.0,4
600032.SH,0.25,4
600033.SH,0.25,4
600036.SH,0.5,2
600056.SH,0.2,5
600070.SH,0.0,3
600008.SH,0.5,2
600009.SH,1.0,3
600013.SH,0.5,2
600047.SH,0.6666666666666666,3
600059.SH,1.0,4
600005.SH,0.6666666666666666,3
600052.SH,0.0,1
600065.SH,0.0,3
600077.SH,0.5,2
600090.SH,1.0,1
600025.SH,0.0,3
600026.SH,0.6,5
600030.SH,0.0,1
600040.SH,0.25,4
600048.SH,0.0,3
600063.SH,0.6666666666666666,3
600100.SH,0.3333333333333333,3
600006.SH,0.0,1
600011.SH,1.0,1
600019.SH,0.75,4
600092.SH,1.0,1
600010.SH,0.0,2
600018.SH,0.5,2
600038.SH,1.0,1
600028.SH,1.0,2
600061.SH,0.5,2
600082.SH,0.5,2
600094.SH,0.0,3
600043.SH,0.0,2
600089.SH,0.0,2
600067.SH,0.0,1
600080.SH,0.5,2
600083.SH,1.0,1
600093.SH,0.0,1
