stock,win_rate,trade_count
000002.SZ,0.3333333333333333,3
000007.SZ,0.25,4
000008.SZ,0.5,6
000009.SZ,0.75,4
000012.SZ,0.8333333333333334,6
000014.SZ,0.3333333333333333,3
000019.SZ,0.75,4
000021.SZ,0.4,5
000024.SZ,0.42857142857142855,7
000031.SZ,0.6666666666666666,6
000035.SZ,0.7142857142857143,7
000036.SZ,0.25,4
000038.SZ,0.2857142857142857,7
000042.SZ,0.7142857142857143,7
000043.SZ,0.5,4
000044.SZ,0.6666666666666666,3
000049.SZ,0.4,5
600006.SH,0.6666666666666666,6
600009.SH,1.0,4
600010.SH,0.5,6
600015.SH,0.6,5
600017.SH,1.0,3
600027.SH,0.75,4
600031.SH,0.5,4
600036.SH,0.5,4
600041.SH,0.0,2
600044.SH,0.3333333333333333,3
000005.SZ,0.25,4
000010.SZ,0.5,4
000026.SZ,0.6,5
000027.SZ,0.4,5
000040.SZ,0.16666666666666666,6
000045.SZ,0.42857142857142855,7
600004.SH,1.0,5
600005.SH,0.5,4
600030.SH,0.5,6
600032.SH,0.0,3
600034.SH,0.8,5
600037.SH,1.0,3
600038.SH,0.3333333333333333,3
600045.SH,0.375,8
000003.SZ,0.625,8
000016.SZ,1.0,3
000025.SZ,0.25,4
000034.SZ,0.6666666666666666,3
000041.SZ,0.5,2
600007.SH,1.0,4
600008.SH,0.5,4
600013.SH,0.3333333333333333,3
600025.SH,0.4,5
600028.SH,1.0,2
600029.SH,0.5714285714285714,7
600033.SH,0.5,2
600035.SH,0.3333333333333333,3
600049.SH,0.6666666666666666,3
000015.SZ,0.6666666666666666,3
000017.SZ,0.3333333333333333,6
000023.SZ,0.6666666666666666,3
000030.SZ,0.6666666666666666,6
000039.SZ,0.8,5
600011.SH,0.5,2
600014.SH,0.4,5
600018.SH,0.6666666666666666,3
600019.SH,1.0,4
600022.SH,0.6666666666666666,6
600040.SH,0.4,5
600043.SH,0.0,1
600048.SH,0.6666666666666666,3
000001.SZ,0.0,3
000020.SZ,0.5,4
000037.SZ,0.5,4
000048.SZ,0.6666666666666666,3
600001.SH,1.0,3
600002.SH,0.6666666666666666,3
600024.SH,0.5,2
600039.SH,0.6666666666666666,6
600046.SH,0.8,5
000018.SZ,0.6666666666666666,3
000033.SZ,0.3333333333333333,6
000050.SZ,0.2,5
600042.SH,0.3333333333333333,3
600003.SH,0.0,2
600016.SH,0.4,5
600026.SH,0.4,5
000004.SZ,0.3333333333333333,3
000022.SZ,1.0,4
000029.SZ,0.6666666666666666,6
600012.SH,0.6,5
600021.SH,1.0,2
000011.SZ,0.3333333333333333,3
000046.SZ,0.3333333333333333,3
600047.SH,0.0,3
000013.SZ,0.3333333333333333,3
600050.SH,0.3333333333333333,3
000006.SZ,1.0,4
000028.SZ,0.5,2
000032.SZ,0.0,1
000047.SZ,0.6666666666666666,3
600020.SH,0.6666666666666666,3
600023.SH,0.5,2
