stock,win_rate,trade_count
600001.SH,0.0,2
600006.SH,0.0,1
600021.SH,0.0,1
600063.SH,0.0,1
600004.SH,0.0,3
600009.SH,0.0,2
600011.SH,0.0,2
600015.SH,0.0,1
600032.SH,0.0,1
600007.SH,1.0,2
600008.SH,1.0,3
600020.SH,1.0,1
600023.SH,0.0,2
600052.SH,0.0,1
600028.SH,1.0,1
600012.SH,1.0,2
600088.SH,1.0,1
600029.SH,1.0,1
600070.SH,0.0,1
600017.SH,0.0,2
600089.SH,0.0,1
600014.SH,0.0,1
600018.SH,1.0,1
600078.SH,0.0,1
600002.SH,1.0,1
600010.SH,0.0,2
600016.SH,0.0,1
600019.SH,0.0,2
600035.SH,1.0,1
600037.SH,0.0,1
600026.SH,1.0,1
600025.SH,1.0,1
600013.SH,1.0,1
600003.SH,1.0,2
