stock,win_rate,trade_count
000005.SZ,0.8571428571428571,7
000009.SZ,0.0,2
000010.SZ,0.25,4
000011.SZ,0.25,4
000017.SZ,0.6666666666666666,3
000020.SZ,0.3333333333333333,3
000021.SZ,1.0,6
000023.SZ,0.4,5
000024.SZ,0.75,4
000025.SZ,0.5,2
000029.SZ,0.6666666666666666,6
000034.SZ,0.5,6
000038.SZ,0.6,5
000040.SZ,0.75,4
000043.SZ,0.5,6
000047.SZ,0.25,4
000048.SZ,0.75,4
600011.SH,1.0,1
600012.SH,0.5,4
600016.SH,0.5,2
600020.SH,0.6666666666666666,6
600022.SH,0.0,1
600024.SH,0.4,5
600031.SH,0.3333333333333333,3
600034.SH,0.25,4
600036.SH,0.5,4
600037.SH,0.8,5
600041.SH,1.0,4
600046.SH,0.8,5
600048.SH,0.16666666666666666,6
000014.SZ,0.25,4
000027.SZ,1.0,1
000028.SZ,1.0,2
000045.SZ,0.6,5
600003.SH,0.8,5
600004.SH,0.2,5
600008.SH,0.5,4
600009.SH,0.5,4
600026.SH,0.3333333333333333,3
600027.SH,0.42857142857142855,7
600039.SH,1.0,2
000004.SZ,0.75,4
000015.SZ,0.3333333333333333,3
000037.SZ,0.2,5
000039.SZ,0.5,4
000041.SZ,0.0,2
600013.SH,0.3333333333333333,3
600014.SH,0.3333333333333333,6
600017.SH,0.2,5
600030.SH,0.5,2
600040.SH,0.5,4
600042.SH,0.4,5
600043.SH,0.3333333333333333,3
000008.SZ,0.75,4
000018.SZ,0.6666666666666666,6
000049.SZ,0.5,4
600002.SH,1.0,3
600007.SH,0.3333333333333333,3
600015.SH,0.3333333333333333,3
600028.SH,0.5,4
600038.SH,0.25,4
600049.SH,0.75,4
000032.SZ,0.25,4
000036.SZ,1.0,3
000042.SZ,1.0,4
000050.SZ,0.0,1
600018.SH,0.75,4
600025.SH,1.0,2
600032.SH,0.2,5
600045.SH,1.0,3
000016.SZ,0.3333333333333333,3
600005.SH,0.3333333333333333,3
600010.SH,1.0,2
600023.SH,0.75,4
600035.SH,1.0,3
000002.SZ,0.0,2
000003.SZ,0.6666666666666666,3
000019.SZ,0.25,4
000022.SZ,0.0,1
600001.SH,0.3333333333333333,3
600019.SH,1.0,2
600044.SH,0.0,2
600050.SH,0.5,2
000007.SZ,1.0,1
000026.SZ,0.5,4
000033.SZ,0.5,4
000013.SZ,1.0,1
000035.SZ,1.0,3
000044.SZ,1.0,3
600021.SH,0.5,2
000012.SZ,1.0,1
000046.SZ,1.0,3
600033.SH,1.0,1
000006.SZ,0.5,4
000030.SZ,0.6666666666666666,3
000031.SZ,1.0,1
600047.SH,0.6666666666666666,3
000001.SZ,0.6666666666666666,3
600006.SH,0.0,2
600029.SH,1.0,2
