stock,win_rate,trade_count
000813.SZ,0.4,5
001356.SZ,0.5,2
301076.SZ,0.2,5
000151.SZ,0.0,2
002144.SZ,0.5,4
002970.SZ,0.5,4
002998.SZ,0.6666666666666666,6
300205.SZ,0.2,5
300841.SZ,0.25,4
000911.SZ,0.5,2
002032.SZ,0.5,2
002806.SZ,0.0,4
300271.SZ,0.4,5
300682.SZ,0.6666666666666666,6
301587.SZ,0.5,4
301419.SZ,0.3333333333333333,3
001322.SZ,0.5,2
002130.SZ,0.0,2
300373.SZ,0.5,4
301002.SZ,1.0,2
300835.SZ,0.75,4
301100.SZ,0.0,2
301370.SZ,0.6,5
000965.SZ,0.0,3
002046.SZ,0.0,3
300584.SZ,0.4,5
002429.SZ,0.0,3
002872.SZ,1.0,2
300768.SZ,1.0,1
300780.SZ,0.3333333333333333,3
300307.SZ,0.0,3
000027.SZ,0.3333333333333333,3
300299.SZ,0.0,2
