stock,win_rate,trade_count
600003.SH,0.0,3
600006.SH,0.0,2
600010.SH,1.0,1
600015.SH,0.0,1
600042.SH,0.0,1
600058.SH,0.0,1
600070.SH,0.0,1
600013.SH,1.0,3
600016.SH,0.0,2
600017.SH,0.0,1
600046.SH,0.0,1
600083.SH,0.0,1
600001.SH,1.0,3
600009.SH,0.0,1
600012.SH,1.0,1
600018.SH,1.0,1
600027.SH,1.0,1
600037.SH,0.0,1
600014.SH,1.0,1
600019.SH,1.0,1
600026.SH,0.0,1
600074.SH,0.0,1
600007.SH,0.0,2
600023.SH,1.0,1
600004.SH,1.0,2
600005.SH,0.0,1
600060.SH,0.0,1
600022.SH,1.0,1
600002.SH,1.0,1
600008.SH,1.0,2
600030.SH,0.5,2
600081.SH,1.0,1
600021.SH,0.0,1
600045.SH,0.0,1
600089.SH,1.0,1
600044.SH,0.0,1
600011.SH,1.0,1
600031.SH,1.0,1
