stock,buy_date,sell_date,buy_price,sell_price,quantity,order_quantity,execution_rate,pnl,return_rate,commission,stamp_duty,transfer_fee,market_impact_cost
600002.SH,2025-09-01,2025-09-02,49.6452048559765,47.168432688997164,800,1100,0.7290000000000001,-2040.7895089398517,-0.049889454060358725,11.320423845359318,37.73474615119773,1.0,9.316605359825585
600004.SH,2025-09-01,2025-09-02,27.23781804770604,26.822123427851807,1300,1900,0.7290000000000001,-595.0080100879713,-0.015261671075346721,10.460628136862203,34.86876045620735,1.0,8.275615684397414
600017.SH,2025-09-01,2025-09-02,80.31439871021836,78.64833434766183,100,200,0.81,-181.30127573549908,-0.02074427984660431,5.0,7.864833434766183,1.0,0.830006045080108
600019.SH,2025-09-01,2025-09-02,32.15195154332661,30.92212125610794,500,700,0.81,-638.6639401312113,-0.038250564217273235,5.0,15.46106062805397,1.0,2.287735893820801
600023.SH,2025-09-01,2025-09-02,37.256424413756015,35.70116677087041,300,400,0.81,-484.6066661692821,-0.041744683429990305,5.0,10.710350031261124,1.0,1.3190232723402173
600056.SH,2025-09-01,2025-09-02,21.410737888585754,20.09942807973455,100,200,0.81,-139.24815522523545,-0.061245428143337034,5.0,2.009942807973455,1.0,0.10723153214158898
600002.SH,2025-09-01,2025-09-03,49.6452048559765,45.67630772461409,200,300,0.81,-809.9537186618945,-0.07994522618803572,5.0,9.135261544922818,1.0,1.0390308444888179
600082.SH,2025-09-01,2025-09-03,12.6367760606693,12.433787742675628,100,200,0.81,-27.594384333534663,-0.01606329945384192,5.0,1.2433787742675628,1.0,0.052173759900205625
600090.SH,2025-09-01,2025-09-03,10.830205322998605,10.658554905526819,200,300,0.81,-42.578916735732946,-0.01584923021794207,5.0,2.1317109811053636,1.0,0.1171222602706584
600019.SH,2025-09-01,2025-09-04,32.15195154332661,31.420122571179565,100,200,0.81,-82.53449378500045,-0.022761572377989682,5.0,3.1420122571179565,1.0,0.20958431317782134
600028.SH,2025-09-01,2025-09-04,38.79508775837481,37.97081058832014,100,200,0.81,-92.5032317421219,-0.021246946912157248,5.0,3.7970810588320143,1.0,0.2784336778228215
600010.SH,2025-09-01,2025-09-05,41.03369961631802,39.74614157547224,600,800,0.81,-808.9192581738134,-0.031378063710681185,7.154305483585002,23.84768494528334,1.0,4.3824432374740985
600039.SH,2025-09-01,2025-09-05,19.342228526558365,21.213867320786484,300,400,0.81,548.5233088244213,0.0967643822250479,5.0,6.364160196235946,1.0,0.6041692477782605
600009.SH,2025-09-01,2025-09-08,63.33117400539524,67.01014887680363,400,600,0.81,1430.5225394203662,0.05809105751134458,8.041217865216433,26.80405955072145,1.0,5.2221317270473735
600012.SH,2025-09-01,2025-09-08,87.30071202499765,85.70697092277136,200,300,0.81,-344.7026779589869,-0.01825576292859946,5.142418255366281,17.141394184554272,1.0,2.670645073807999
600013.SH,2025-09-01,2025-09-08,75.68402610264444,73.20595899322433,300,400,0.81,-776.8434657320395,-0.032742273859206396,6.5885363093901885,21.9617876979673,1.0,3.8730088986482714
600014.SH,2025-09-01,2025-09-08,95.95179102324647,92.88256885320801,100,200,0.81,-323.27571590717343,-0.03198712746586325,5.0,9.288256885320802,1.0,1.0652420180068167
600027.SH,2025-09-01,2025-09-08,53.428757967007115,51.72313206707633,100,200,0.81,-182.1775671799487,-0.031923367954464356,5.0,5.172313206707633,1.0,0.44266398016290714
600005.SH,2025-09-01,2025-09-09,66.0065163352962,63.730662727042635,500,700,0.81,-1187.120736548597,-0.0344792262129516,9.559599409056394,31.865331363521317,1.0,6.76900164923519
600009.SH,2025-09-01,2025-09-09,63.33117400539524,67.76591409641591,100,200,0.81,430.0335769353669,0.070024599427809,5.0,6.776591409641591,1.0,0.6638407570579069
600040.SH,2025-09-01,2025-09-09,23.79840414967252,23.22403521745514,200,300,0.81,-125.89529596490229,-0.024134766709778974,5.0,4.644807043491028,1.0,0.3767024779349825
600095.SH,2025-09-01,2025-09-09,10.0682581785568,9.880867178729872,200,300,0.81,-45.55891389489898,-0.01861205746849338,5.0,1.9761734357459746,1.0,0.1045404937676839
600098.SH,2025-09-01,2025-09-09,13.625162055857606,14.770206871600852,100,200,0.81,106.95991065771773,0.08403898691619441,5.0,1.477020687160085,1.0,0.06755022944664792
600015.SH,2025-09-01,2025-09-10,85.14725574289967,90.10634412598348,100,200,0.81,479.88036272061436,0.05824131781836483,5.0,9.01063441259835,1.0,1.0178411751700893
600004.SH,2025-09-01,2025-09-11,27.23781804770604,28.63408714730487,400,600,0.81,539.5953184861464,0.051262149455338836,5.0,11.45363485892195,1.0,1.4586864944653946
600011.SH,2025-09-01,2025-09-11,22.86405146356463,22.585802228268843,1000,1400,0.7290000000000001,-312.92496386274433,-0.012169725725958662,6.775740668480652,22.585802228268843,1.0,4.314185670208676
600018.SH,2025-09-01,2025-09-11,50.13988198918641,54.68413640451655,400,500,0.81,1784.4162966023941,0.09063153392164339,6.562096368541985,21.87365456180662,1.0,3.8497185993157
600081.SH,2025-09-01,2025-09-11,16.949511397235835,16.63566192874157,100,200,0.81,-39.12925645296832,-0.0185167265969359,5.0,1.663566192874157,1.0,0.08074341066760814
600003.SH,2025-09-01,2025-09-12,86.97212624511438,92.2865024155593,500,700,0.81,2584.406551670152,0.06110436067145649,13.842975362333894,46.14325120777965,1.0,11.795306982187093
