stock,buy_date,sell_date,buy_price,sell_price,quantity,pnl,return_rate
000965.SZ,2025-10-01,2025-10-02,66.7669301710524,64.34867357976533,100,-244.27230911263814,-0.036219376644869704
002806.SZ,2025-10-01,2025-10-02,96.73779166676798,92.35863338563242,100,-441.5741849765436,-0.045268330046445725
300780.SZ,2025-10-01,2025-10-02,76.3007278722666,80.15275055245063,100,382.08009340737226,0.05048474356145866
301002.SZ,2025-10-01,2025-10-02,58.894229566332584,55.72354635393619,100,-319.1559939061044,-0.05383690788968127
301370.SZ,2025-10-01,2025-10-02,48.35806853913258,45.36472993464011,100,-301.0003489748942,-0.06189946569247665
301419.SZ,2025-10-01,2025-10-02,61.5229648446828,58.87174869843106,100,-267.339477813156,-0.043093114139489797
301587.SZ,2025-10-01,2025-10-02,74.50011902294806,70.52351392645681,100,-400.36845940182593,-0.05337716434072191
002970.SZ,2025-10-01,2025-10-03,37.25727291550361,36.072172891830476,200,-239.79711350947582,-0.031808555241304014
300205.SZ,2025-10-01,2025-10-06,90.51460070393172,97.06938827957994,100,651.610311433411,0.07241690870502285
300271.SZ,2025-10-01,2025-10-06,41.17588286895382,39.61606728194561,200,-315.0453459556293,-0.037881776377994655
300299.SZ,2025-10-01,2025-10-06,44.262829413067635,42.81777367401504,100,-146.0702864654495,-0.032647161471922925
000965.SZ,2025-10-03,2025-10-06,63.708573031233364,61.558030738828705,100,-217.3839478606642,-0.03375593252340383
000813.SZ,2025-10-01,2025-10-07,17.2476935393073,18.540349883960005,500,642.654571198771,0.07494662064274021
001356.SZ,2025-10-01,2025-10-07,36.59730123330929,35.2636542479351,200,-269.4375084644771,-0.03644112927541114
300307.SZ,2025-10-01,2025-10-07,60.9385403987584,64.38395686602819,100,342.09351363505266,0.05653920236231957
300841.SZ,2025-10-01,2025-10-07,63.165109541986524,67.11663187300888,100,392.58888287777245,0.06255862389339706
301587.SZ,2025-10-03,2025-10-07,69.59698186318921,73.24029411079168,100,361.5072215199416,0.052348710390406505
