stock,buy_date,sell_date,buy_price,sell_price,quantity,order_quantity,execution_rate,pnl,return_rate,commission,stamp_duty,transfer_fee,market_impact_cost
600003.SH,2025-09-01,2025-09-02,10.024896240910119,9.544629385867722,4100,5700,0.7290000000000001,-2030.8061837327477,-0.0479074140520775,11.739894144617297,39.13298048205766,1.0,9.839203432251248
600006.SH,2025-09-01,2025-09-02,30.968440865853935,29.63254334425079,1000,1400,0.7290000000000001,-1381.9031701231652,-0.0431373838737912,8.889763003275236,29.632543344250795,1.0,6.483342172493774
600010.SH,2025-09-01,2025-09-02,86.72333078090443,87.62464764833403,300,400,0.81,230.14957581217095,0.010393014882081308,7.8862182883500624,26.28739429450021,1.0,5.071871833858105
600015.SH,2025-09-01,2025-09-02,97.04554484314919,94.58114928576477,100,200,0.81,-262.9922666294042,-0.025394216307070297,5.0,9.458114928576476,1.0,1.0945959623862265
600042.SH,2025-09-01,2025-09-02,30.743201422819148,29.602217911730524,100,200,0.81,-123.25023371845737,-0.03711336029700957,5.0,2.960221791173052,1.0,0.1916608184221023
600058.SH,2025-09-01,2025-09-02,22.417212232072714,21.632574829156162,100,200,0.81,-86.74672951166167,-0.03500156017588827,5.0,2.163257482915616,1.0,0.11973173709088236
600070.SH,2025-09-01,2025-09-02,21.92379629211157,21.146166873564226,100,200,0.81,-85.99327481685532,-0.03546965170567404,5.0,2.1146166873564227,1.0,0.11571627476441146
600003.SH,2025-09-01,2025-09-03,10.024896240910119,9.337635645924374,1100,1600,0.7290000000000001,-773.5811454524719,-0.06855538236706486,5.0,10.271399210516812,1.0,1.3230917576373837
600013.SH,2025-09-01,2025-09-03,10.434985139559048,11.258970315837537,2000,2800,0.7290000000000001,1613.402273141066,0.07896371343690368,6.755382189502522,22.517940631675074,1.0,4.294756594737463
600016.SH,2025-09-01,2025-09-03,35.42965874158026,33.99043869070629,500,700,0.81,-745.3403673291396,-0.04062189989950147,5.098565803605943,16.99521934535315,1.0,2.6365567431973678
600017.SH,2025-09-01,2025-09-03,58.3360194203551,56.77793944096713,300,400,0.81,-493.21283244249935,-0.02670871264219839,5.110014549687041,17.03338183229014,1.0,2.6454422441323455
