stock,buy_date,sell_date,buy_price,sell_price,quantity,order_quantity,execution_rate,pnl,return_rate,commission,stamp_duty,transfer_fee,market_impact_cost
600003.SH,2025-09-01,2025-09-02,12.959921917680932,12.314050243929213,3100,4300,0.7290000000000001,-2062.3073993466387,-0.04983607755156076,11.452066726854168,38.17355575618056,1.0,9.479588233285355
600004.SH,2025-09-01,2025-09-02,56.51075245110945,56.036718669789856,700,900,0.81,-393.06197897034144,-0.008388382046933518,11.767710920655869,39.2257030688529,1.0,9.244918057113125
600011.SH,2025-09-01,2025-09-02,12.443991574867821,12.233491211513963,1900,2700,0.7290000000000001,-435.6714467646125,-0.016915823358398134,6.973089990562958,23.243633301876528,1.0,4.504033099842789
600017.SH,2025-09-01,2025-09-02,50.38102637030117,48.44994610306082,400,500,0.81,-801.8366100773492,-0.038329514231149046,5.813993532367298,19.379978441224328,1.0,3.2105312076163264
600044.SH,2025-09-01,2025-09-02,16.11527355946929,15.769352235359687,400,500,0.81,-151.27242353192742,-0.021465432952972822,5.0,6.307740894143874,1.0,0.5961529939426456
600062.SH,2025-09-01,2025-09-02,19.616731578281065,18.528608124747812,100,200,0.81,-116.76011598709965,-0.055469151381873624,5.0,1.8528608124747812,1.0,0.09490982129947284
600001.SH,2025-09-01,2025-09-03,27.213872113592295,26.77265974744114,1600,2300,0.7290000000000001,-773.8953323217938,-0.016212774290608464,12.850876678771746,42.836255595905826,1.0,11.268414205270147
600004.SH,2025-09-01,2025-09-03,56.51075245110945,53.62573016440741,100,200,0.81,-300.33211353160186,-0.05105262559011279,5.0,5.362573016440741,1.0,0.467311844957198
600007.SH,2025-09-01,2025-09-03,25.878309943354594,27.29167671046291,1100,1600,0.7290000000000001,1508.0651520608626,0.054615883734372664,9.00625331445276,30.0208443815092,1.0,6.61119406232467
600009.SH,2025-09-01,2025-09-03,48.0885682868132,46.25222559810968,500,700,0.81,-953.4203435905038,-0.03818667833384172,6.937833839716451,23.12611279905484,1.0,4.185052599973063
600011.SH,2025-09-01,2025-09-03,12.443991574867821,11.798946319528396,600,800,0.81,-400.81534542137433,-0.05183588010796908,5.0,7.079367791717037,1.0,0.7088244260010771
600012.SH,2025-09-01,2025-09-03,42.63195717518849,41.336890271940455,500,700,0.81,-678.9384011088041,-0.03037784303277906,6.200533540791068,20.66844513597023,1.0,3.5359708080293832
600019.SH,2025-09-01,2025-09-03,85.44820872798583,82.49075264332221,100,200,0.81,-310.8862525274144,-0.03461109517319816,5.0,8.249075264332221,1.0,0.8915687967226037
600028.SH,2025-09-01,2025-09-03,18.60581411435866,19.92557861419627,500,700,0.81,642.7360965376138,0.07093290794618363,5.0,9.962789307098134,1.0,1.1833640740910765
600054.SH,2025-09-02,2025-09-03,44.98913488632249,43.91408995757081,100,200,0.81,-118.24220211064221,-0.023895656839547568,5.0,4.391408995757081,1.0,0.34630023971718943
600001.SH,2025-09-01,2025-09-04,27.213872113592295,26.230429046852,500,700,0.81,-512.6240997650839,-0.036137564791785134,5.0,13.115214523426,1.0,1.787351871509799
600003.SH,2025-09-01,2025-09-04,12.959921917680932,12.09012725549054,800,1200,0.7290000000000001,-712.7168330552504,-0.06711419001712893,5.0,9.672101804392433,1.0,1.2090014985463189
600009.SH,2025-09-01,2025-09-04,48.0885682868132,46.15496653038565,100,200,0.81,-204.34881471419885,-0.04020917705212238,5.0,4.615496653038565,1.0,0.3731424184054506
600011.SH,2025-09-01,2025-09-04,12.443991574867821,11.924187157303106,100,200,0.81,-59.22185980170639,-0.04177151796008325,5.0,1.1924187157303106,1.0,0.04899932950452392
600012.SH,2025-09-01,2025-09-04,42.63195717518849,41.55246840829707,100,200,0.81,-118.4228676657176,-0.025321116796384803,5.0,4.155246840829706,1.0,0.31874413574530974
600016.SH,2025-09-01,2025-09-04,76.0238224169444,73.1451996073444,200,300,0.81,-598.4591767615257,-0.03786474710272405,5.0,14.629039921468879,1.0,2.1055749200570153
600027.SH,2025-09-01,2025-09-04,10.66316385409432,10.517793412940195,800,1200,0.7290000000000001,-131.69158421593056,-0.013632955766529545,5.0,8.414234730352156,1.0,0.9809965622800225
600029.SH,2025-09-01,2025-09-04,25.540603416723926,24.895309617326117,400,500,0.81,-275.2581765436971,-0.025265409311953535,5.0,9.958123846930446,1.0,1.182532937641797
