stock,buy_date,sell_date,buy_price,sell_price,quantity,pnl,return_rate
001356.SZ,2025-10-01,2025-10-02,28.955653671313126,27.888217873485367,300,-323.505946027537,-0.03686450355929234
002970.SZ,2025-10-01,2025-10-02,83.07664077407738,79.6424856475111,100,-346.51553778335074,-0.041337192916902944
301419.SZ,2025-10-01,2025-10-02,16.74935796950551,16.21523789655913,400,-216.11622381317648,-0.0318889878596432
002998.SZ,2025-10-01,2025-10-03,76.64909187441388,80.68162761991215,100,400.1084195222156,0.052610352541493835
300373.SZ,2025-10-01,2025-10-03,42.06989452436505,40.13962624837857,200,-389.1813243579845,-0.0458824130131477
301002.SZ,2025-10-01,2025-10-03,90.70028344804491,86.13613080173363,100,-459.7987741326433,-0.0503212611118876
000813.SZ,2025-10-01,2025-10-06,96.11522993066967,101.65981886076028,100,550.3840981319136,0.0576868924320325
000911.SZ,2025-10-01,2025-10-06,28.85654683030514,27.796182210472054,300,-321.37252428761894,-0.036746067575885055
300841.SZ,2025-10-01,2025-10-06,18.21996867161704,17.6704529469585,400,-222.52098370780277,-0.030160080654505903
301100.SZ,2025-10-01,2025-10-06,79.8902207552468,76.86625336470001,100,-305.37663924518256,-0.03785153379173993
000027.SZ,2025-10-01,2025-10-07,41.35707356769149,45.51271276344422,200,827.5286278699386,0.10048194510066003
002130.SZ,2025-10-01,2025-10-07,79.60871157500797,77.19049218469414,100,-244.81583494806455,-0.030376316140167284
300271.SZ,2025-10-01,2025-10-07,11.554577228947284,11.04189123783043,700,-361.8785266102577,-0.04437081348441198
301002.SZ,2025-10-06,2025-10-07,88.20148069632899,94.0055750484497,100,576.677823068072,0.06580495368443724
001356.SZ,2025-10-03,2025-10-08,27.64101549458457,26.46716049358609,200,-236.74415865004357,-0.04246786812982544
002970.SZ,2025-10-03,2025-10-08,80.92047537902111,77.85830991187134,100,-309.239297153139,-0.037841664335348725
300373.SZ,2025-10-06,2025-10-08,40.687207770098624,39.39219009461998,100,-130.93077123292915,-0.03182862001236581
001322.SZ,2025-10-01,2025-10-09,68.1607495525222,65.45933348414535,100,-272.6349982953898,-0.03963301586487462
002032.SZ,2025-10-01,2025-10-09,50.92857577945523,53.75246671920209,100,280.3824279916207,0.05544806420614708
002429.SZ,2025-10-01,2025-10-09,83.34462086250878,80.47722471047095,100,-289.87588587821756,-0.03440409377790665
300307.SZ,2025-10-01,2025-10-09,91.25147929475528,96.43446760663707,100,514.458800535971,0.05679895111771279
301076.SZ,2025-10-01,2025-10-09,66.038233221639,69.91880309409905,100,385.3747798521299,0.058762472633633114
002144.SZ,2025-10-01,2025-10-10,68.83969200530623,66.61627588986579,100,-224.88381383287378,-0.03229846111555903
002872.SZ,2025-10-01,2025-10-13,34.59581510436314,36.847701396553894,200,447.5337506036685,0.06509129168940296
300682.SZ,2025-10-01,2025-10-13,77.02736013919947,81.83943032696668,100,478.0114742478763,0.06247221998873004
301370.SZ,2025-10-01,2025-10-13,25.424331858859393,24.52544619454004,300,-272.50410264503626,-0.035355330842494676
301419.SZ,2025-10-03,2025-10-13,16.671076085966384,17.645659001729765,400,387.12269798858415,0.0584595085966754
