stock,trade_count
000029.SZ,13
600045.SH,13
000043.SZ,12
000045.SZ,12
000033.SZ,12
600046.SH,12
000038.SZ,11
600004.SH,11
000021.SZ,11
600027.SH,11
000024.SZ,11
000005.SZ,11
600014.SH,11
000008.SZ,11
000003.SZ,11
000042.SZ,11
600040.SH,10
000040.SZ,10
600026.SH,10
000035.SZ,10
000039.SZ,10
000037.SZ,9
600038.SH,9
000049.SZ,9
600018.SH,9
000004.SZ,9
000010.SZ,9
000023.SZ,9
600034.SH,9
600012.SH,9
000034.SZ,9
000017.SZ,9
600029.SH,9
000030.SZ,9
000026.SZ,9
600037.SH,8
600010.SH,8
600022.SH,8
600041.SH,8
600017.SH,8
600032.SH,8
000001.SZ,8
000006.SZ,8
600006.SH,8
000002.SZ,8
600015.SH,8
600042.SH,8
000019.SZ,8
600030.SH,8
600039.SH,8
600009.SH,8
600008.SH,8
600048.SH,8
000044.SZ,7
600047.SH,7
000012.SZ,7
600019.SH,7
000031.SZ,7
600035.SH,7
600001.SH,7
000018.SZ,7
600020.SH,7
000047.SZ,7
600031.SH,7
000014.SZ,7
600003.SH,7
000011.SZ,7
000020.SZ,7
600049.SH,7
600007.SH,7
600025.SH,7
000050.SZ,7
600050.SH,7
600021.SH,6
600024.SH,6
600036.SH,6
000009.SZ,6
000046.SZ,6
600023.SH,6
000028.SZ,6
600016.SH,6
000048.SZ,6
600002.SH,6
600028.SH,6
600043.SH,6
000015.SZ,6
600005.SH,6
000032.SZ,6
000016.SZ,6
000027.SZ,5
000025.SZ,5
600011.SH,5
000007.SZ,5
600044.SH,5
600013.SH,5
000022.SZ,5
000013.SZ,4
000036.SZ,4
000041.SZ,3
600033.SH,3
