stock,trade_count
600004.SH,3
600002.SH,2
600019.SH,2
600033.SH,2
600011.SH,2
600003.SH,2
600005.SH,2
600009.SH,2
600010.SH,2
600001.SH,2
600026.SH,2
600022.SH,2
600007.SH,2
600020.SH,2
600006.SH,2
600023.SH,1
600017.SH,1
600028.SH,1
600090.SH,1
600082.SH,1
600056.SH,1
600027.SH,1
600013.SH,1
600012.SH,1
600039.SH,1
600081.SH,1
600018.SH,1
600098.SH,1
600015.SH,1
600095.SH,1
600040.SH,1
600014.SH,1
600021.SH,1
600057.SH,1
600008.SH,1
600035.SH,1
600031.SH,1
600025.SH,1
600041.SH,1
600032.SH,1
600066.SH,1
