stock,trade_count
600003.SH,3
600011.SH,3
600001.SH,3
600002.SH,3
600007.SH,2
600009.SH,2
600027.SH,2
600012.SH,2
600004.SH,2
600008.SH,2
600006.SH,2
600032.SH,2
600028.SH,2
600005.SH,2
600015.SH,2
600026.SH,2
600023.SH,2
600062.SH,1
600044.SH,1
600017.SH,1
600031.SH,1
600054.SH,1
600016.SH,1
600029.SH,1
600019.SH,1
600018.SH,1
600010.SH,1
600072.SH,1
600064.SH,1
600048.SH,1
600052.SH,1
600094.SH,1
600084.SH,1
600022.SH,1
600021.SH,1
600014.SH,1
600040.SH,1
600071.SH,1
600020.SH,1
600037.SH,1
600066.SH,1
