stock,trade_count
600015.SH,7
600085.SH,7
600057.SH,7
600069.SH,6
600099.SH,6
600086.SH,6
600029.SH,5
600068.SH,5
600066.SH,5
600060.SH,5
600017.SH,5
600055.SH,5
600001.SH,5
600026.SH,5
600056.SH,5
600003.SH,5
600071.SH,5
600079.SH,5
600031.SH,5
600078.SH,4
600059.SH,4
600088.SH,4
600035.SH,4
600032.SH,4
600033.SH,4
600021.SH,4
600058.SH,4
600020.SH,4
600073.SH,4
600004.SH,4
600050.SH,4
600098.SH,4
600022.SH,4
600097.SH,4
600027.SH,4
600019.SH,4
600040.SH,4
600014.SH,4
600065.SH,3
600096.SH,3
600084.SH,3
600007.SH,3
600042.SH,3
600087.SH,3
600053.SH,3
600074.SH,3
600072.SH,3
600095.SH,3
600049.SH,3
600039.SH,3
600012.SH,3
600094.SH,3
600063.SH,3
600075.SH,3
600048.SH,3
600009.SH,3
600070.SH,3
600037.SH,3
600100.SH,3
600047.SH,3
600005.SH,3
600025.SH,3
600044.SH,3
600023.SH,3
600062.SH,3
600046.SH,3
600076.SH,2
600064.SH,2
600034.SH,2
600024.SH,2
600080.SH,2
600002.SH,2
600045.SH,2
600081.SH,2
600051.SH,2
600041.SH,2
600008.SH,2
600016.SH,2
600036.SH,2
600010.SH,2
600028.SH,2
600077.SH,2
600013.SH,2
600061.SH,2
600089.SH,2
600082.SH,2
600018.SH,2
600043.SH,2
600054.SH,1
600052.SH,1
600090.SH,1
600006.SH,1
600030.SH,1
600011.SH,1
600092.SH,1
600038.SH,1
600067.SH,1
600083.SH,1
600093.SH,1
