stock,trade_count
000005.SZ,7
600027.SH,7
000034.SZ,6
000029.SZ,6
600048.SH,6
600020.SH,6
000043.SZ,6
000021.SZ,6
600014.SH,6
000018.SZ,6
600004.SH,5
600003.SH,5
600024.SH,5
600037.SH,5
000045.SZ,5
600042.SH,5
600017.SH,5
600046.SH,5
000038.SZ,5
000023.SZ,5
000037.SZ,5
600032.SH,5
600012.SH,4
600036.SH,4
000048.SZ,4
000047.SZ,4
000039.SZ,4
600040.SH,4
600009.SH,4
000014.SZ,4
600041.SH,4
000010.SZ,4
600034.SH,4
000011.SZ,4
000024.SZ,4
000040.SZ,4
600018.SH,4
600038.SH,4
600049.SH,4
000033.SZ,4
000026.SZ,4
000019.SZ,4
600023.SH,4
600008.SH,4
000006.SZ,4
000049.SZ,4
000032.SZ,4
000042.SZ,4
600028.SH,4
000004.SZ,4
000008.SZ,4
600031.SH,3
600047.SH,3
000044.SZ,3
000001.SZ,3
000046.SZ,3
000035.SZ,3
600043.SH,3
600005.SH,3
000017.SZ,3
000020.SZ,3
000036.SZ,3
600015.SH,3
600007.SH,3
000015.SZ,3
600026.SH,3
600002.SH,3
600013.SH,3
600001.SH,3
000030.SZ,3
000003.SZ,3
600045.SH,3
600035.SH,3
000016.SZ,3
000009.SZ,2
000025.SZ,2
600021.SH,2
600025.SH,2
600044.SH,2
000028.SZ,2
600016.SH,2
600039.SH,2
000041.SZ,2
600030.SH,2
600029.SH,2
000002.SZ,2
600010.SH,2
600006.SH,2
600019.SH,2
600050.SH,2
600011.SH,1
600022.SH,1
000027.SZ,1
000050.SZ,1
000007.SZ,1
000022.SZ,1
000012.SZ,1
000013.SZ,1
000031.SZ,1
600033.SH,1
