sell_date,trade_count
2025-11-04,100
2025-11-05,100
2025-11-06,100
2025-11-07,100
2025-11-10,100
2025-11-11,100
2025-11-12,100
2025-11-13,100
2025-11-14,100
2025-11-17,100
2025-11-18,100
2025-11-19,100
2025-11-20,100
2025-11-21,100
2025-11-24,100
2025-11-25,100
2025-11-26,100
2025-11-27,100
2025-11-28,100
2025-12-01,100
2025-12-02,100
2025-12-03,100
2025-12-04,100
2025-12-05,100
2025-12-08,100
2025-12-09,100
2025-12-10,100
2025-12-11,100
2025-12-12,100
2025-12-15,100
2025-12-16,100
2025-12-17,100
2025-12-18,100
2025-12-19,100
2025-12-22,100
2025-12-23,100
2025-12-24,100
2025-12-25,100
2025-12-26,100
2025-12-29,100
2025-12-30,100
2025-12-31,100
